字,假名,送假名,旧字体,音训读,简体字,等级,类别
笈,おい,,,训读,,准1级,人名用汉字
倭,い,,,音读,,准1级,人名用汉字
倭,わ,,,音读,,准1级,人名用汉字
倭,やまと,,,训读,,准1级,人名用汉字
倶,く,,,音读,,准1级,
倶,ぐ,,,音读,,准1级,
倶,とも,に,,训读,,准1级,
桔,きつ,,,音读,,准1级,人名用汉字
桔,けつ,,,音读,,准1级,人名用汉字
珪,けい,,,音读,,准1级,
珪,たま,,,训读,,准1级,
矩,く,,,音读,,准1级,人名用汉字
矩,さしがね,,,训读,,准1级,人名用汉字
矩,のり,,,训读,,准1级,人名用汉字
紗,さ,,,音读,纱,准1级,人名用汉字
紗,しゃ,,,音读,纱,准1级,人名用汉字
紗,うすぎぬ,,,训读,纱,准1级,人名用汉字
桂,けい,,,音读,,准1级,人名用汉字
桂,かつら,,,训读,,准1级,人名用汉字
桧,かい,,,音读,,准1级,人名用汉字
桧,ひ,,,训读,,准1级,人名用汉字
桧,ひのき,,,训读,,准1级,人名用汉字
倦,けん,,,音读,,准1级,人名用汉字
倦,げん,,,音读,,准1级,人名用汉字
倦,あ,きる,,训读,,准1级,人名用汉字
倦,あぐ,む,,训读,,准1级,人名用汉字
倦,う,む,,训读,,准1级,人名用汉字
倦,つか,れる,,训读,,准1级,人名用汉字
烏,う,,,音读,乌,准1级,人名用汉字
烏,お,,,音读,乌,准1级,人名用汉字
烏,いずく,んぞ,,训读,乌,准1级,人名用汉字
烏,からす,,,训读,乌,准1级,人名用汉字
烏,くろ,い,,训读,乌,准1级,人名用汉字
烏,なん,ぞ,,训读,乌,准1级,人名用汉字
皋,こう,,,音读,,准1级,
皋,さつき,,,训读,,准1级,
皋,さわ,,,训读,,准1级,
惇,じゅん,,,音读,,准1级,人名用汉字
惇,とん,,,音读,,准1级,人名用汉字
惇,あつ,い,,训读,,准1级,人名用汉字
惇,まこと,,,训读,,准1级,人名用汉字
菅,かん,,,音读,,准1级,人名用汉字
菅,すが,,,训读,,准1级,人名用汉字
菅,すげ,,,训读,,准1级,人名用汉字
淳,じゅん,,,音读,,准1级,人名用汉字
淳,あつ,い,,训读,,准1级,人名用汉字
淳,すなお,,,训读,,准1级,人名用汉字
袴,こ,,,音读,,准1级,人名用汉字
袴,はかま,,,训读,,准1级,人名用汉字
袴,ももひき,,,训读,,准1级,人名用汉字
祷,とう,,,音读,,准1级,人名用汉字
祷,いの,る,,训读,,准1级,人名用汉字
祷,まつ,る,,训读,,准1级,人名用汉字
渚,しょ,,,音读,,准1级,人名用汉字
渚,なぎさ,,,训读,,准1级,人名用汉字
渚,みぎわ,,,训读,,准1级,人名用汉字
萄,とう,,,音读,,准1级,人名用汉字
萄,どう,,,音读,,准1级,人名用汉字
粕,はく,,,音读,,准1级,
粕,かす,,,训读,,准1级,
梧,ご,,,音读,,准1级,人名用汉字
梧,あおぎり,,,训读,,准1级,人名用汉字
皐,こう,,,音读,,准1级,人名用汉字
皐,さつき,,,训读,,准1级,人名用汉字
皐,さわ,,,训读,,准1级,人名用汉字
埠,ふ,,,音读,,准1级,
埠,つか,,,训读,,准1级,
埠,はとば,,,训读,,准1级,
彬,ひん,,,音读,,准1级,人名用汉字
彬,あき,らか,,训读,,准1级,人名用汉字
彪,ひゅう,,,音读,,准1级,人名用汉字
彪,ひょう,,,音读,,准1级,人名用汉字
彪,あや,,,训读,,准1级,人名用汉字
彪,まだら,,,训读,,准1级,人名用汉字
畢,ひつ,,,音读,毕,准1级,人名用汉字
畢,お,わる,,训读,毕,准1级,人名用汉字
畢,ことごと,く,,训读,毕,准1级,人名用汉字
寅,いん,,,音读,,准1级,人名用汉字
寅,つつし,む,,训读,,准1级,人名用汉字
寅,とら,,,训读,,准1级,人名用汉字
菩,ほ,,,音读,,准1级,人名用汉字
菩,ぼ,,,音读,,准1级,人名用汉字
梶,び,,,音读,,准1级,人名用汉字
梶,かじ,,,训读,,准1级,人名用汉字
梶,こずえ,,,训读,,准1级,人名用汉字
掴,かく,,,音读,,准1级,
掴,つか,む,,训读,,准1级,
梼,とう,,,音读,,准1级,
梼,おろ,か,,训读,,准1级,
梼,きりかぶ,,,训读,,准1级,
桶,とう,,,音读,,准1级,人名用汉字
桶,おけ,,,训读,,准1级,人名用汉字
捺,だつ,,,音读,,准1级,人名用汉字
捺,なつ,,,音读,,准1级,人名用汉字
捺,お,す,,训读,,准1级,人名用汉字
琢,たく,,,音读,,准1级,人名用汉字
琢,みが,く,,训读,,准1级,人名用汉字
梯,たい,,,音读,,准1级,人名用汉字
梯,てい,,,音读,,准1级,人名用汉字
梯,はしご,,,训读,,准1级,人名用汉字
雫,だ,,,音读,,准1级,人名用汉字
雫,しずく,,,训读,,准1级,人名用汉字
舵,た,,,音读,,准1级,人名用汉字
舵,だ,,,音读,,准1级,人名用汉字
舵,かじ,,,训读,,准1级,人名用汉字
埴,しょく,,,音读,,准1级,人名用汉字
