字,假名,送假名,旧字体,音训读,简体字,等级,类别
厚,あつ,い,,训读,,6级,常用汉字
査,さ,,,音读,查,6级,常用汉字
型,けい,,,音读,,6级,常用汉字
型,かた,,,训读,,6级,常用汉字
紀,き,,,音读,纪,6级,常用汉字
迷,めい,,,音读,,6级,常用汉字
迷,まよ,う,,训读,,6级,常用汉字
独,どく,,獨,音读,,6级,常用汉字
独,ひと,り,獨,训读,,6级,常用汉字
祖,そ,,祖,音读,,6级,常用汉字
逆,ぎゃく,,,音读,,6级,常用汉字
逆,さか,,,训读,,6级,常用汉字
逆,さか,らう,,训读,,6级,常用汉字
則,そく,,,音读,则,6级,常用汉字
保,ほ,,,音读,,6级,常用汉字
保,たも,つ,,训读,,6级,常用汉字
航,こう,,,音读,,6级,常用汉字
殺,さつ,,殺,音读,杀,6级,常用汉字
殺,さい,,殺,音读,杀,6级,常用汉字
殺,せつ,,殺,音读,杀,6级,常用汉字
殺,ころ,す,殺,训读,杀,6级,常用汉字
素,そ,,,音读,,6级,常用汉字
素,す,,,音读,,6级,常用汉字
修,しゅう,,,音读,,6级,常用汉字
修,しゅ,,,音读,,6级,常用汉字
修,おさ,める,,训读,,6级,常用汉字
修,おさ,まる,,训读,,6级,常用汉字
粉,ふん,,,音读,,6级,常用汉字
粉,こ,,,训读,,6级,常用汉字
粉,こな,,,训读,,6级,常用汉字
桜,おう,,櫻,音读,樱,6级,常用汉字
桜,さくら,,櫻,训读,樱,6级,常用汉字
脈,みゃく,,,音读,脉,6级,常用汉字
能,のう,,,音读,,6级,常用汉字
耕,こう,,,音读,,6级,常用汉字
耕,たがや,す,,训读,,6级,常用汉字
財,ざい,,,音读,财,6级,常用汉字
財,さい,,,音读,财,6级,常用汉字
留,りゅう,,,音读,,6级,常用汉字
留,る,,,音读,,6级,常用汉字
留,と,める,,训读,,6级,常用汉字
留,と,まる,,训读,,6级,常用汉字
格,かく,,,音读,,6级,常用汉字
格,こう,,,音读,,6级,常用汉字
造,ぞう,,,音读,,6级,常用汉字
造,つく,る,,训读,,6级,常用汉字
個,こ,,,音读,个,6级,常用汉字
破,は,,,音读,,6级,常用汉字
破,やぶ,る,,训读,,6级,常用汉字
破,やぶ,れる,,训读,,6级,常用汉字
容,よう,,,音读,,6级,常用汉字
益,えき,,,音读,,6级,常用汉字
益,やく,,,音读,,6级,常用汉字
師,し,,,音读,师,6级,常用汉字
責,せき,,,音读,责,6级,常用汉字
責,せ,める,,训读,责,6级,常用汉字
術,じゅつ,,,音读,术,6级,常用汉字
授,じゅ,,,音读,,6级,常用汉字
授,さず,ける,,训读,,6级,常用汉字
授,さず,かる,,训读,,6级,常用汉字
略,りゃく,,,音读,,6级,常用汉字
設,せつ,,,音读,设,6级,常用汉字
設,もう,ける,,训读,设,6级,常用汉字
張,ちょう,,,音读,张,6级,常用汉字
張,は,る,,训读,张,6级,常用汉字
務,む,,,音读,务,6级,常用汉字
務,つと,める,,训读,务,6级,常用汉字
務,つと,まる,,训读,务,6级,常用汉字
率,そつ,,,音读,,6级,常用汉字
率,りつ,,,音读,,6级,常用汉字
率,ひき,いる,,训读,,6级,常用汉字
情,じょう,,,音读,,6级,常用汉字
情,せい,,,音读,,6级,常用汉字
情,なさ,け,,训读,,6级,常用汉字
貧,ひん,,,音读,贫,6级,常用汉字
貧,びん,,,音读,贫,6级,常用汉字
貧,まず,しい,,训读,贫,6级,常用汉字
接,せつ,,,音读,,6级,常用汉字
接,つ,ぐ,,训读,,6级,常用汉字
断,だん,,斷,音读,,6级,常用汉字
断,た,つ,斷,训读,,6级,常用汉字
断,ことわ,る,斷,训读,,6级,常用汉字
常,じょう,,,音读,,6级,常用汉字
常,つね,,,训读,,6级,常用汉字
常,とこ,,,训读,,6级,常用汉字
得,とく,,,音读,,6级,常用汉字
得,え,る,,训读,,6级,常用汉字
得,うる,,,训读,,6级,常用汉字
採,さい,,,音读,采,6级,常用汉字
採,と,る,,训读,采,6级,常用汉字
混,こん,,,音读,,6级,常用汉字
混,ま,じる,,训读,,6级,常用汉字
混,ま,ざる,,训读,,6级,常用汉字
混,ま,ぜる,,训读,,6级,常用汉字
混,こ,む,,训读,,6级,常用汉字
寄,き,,,音读,,6级,常用汉字
寄,よ,る,,训读,,6级,常用汉字
寄,よ,せる,,训读,,6级,常用汉字
規,き,,,音读,规,6级,常用汉字
眼,がん,,,音读,,6级,常用汉字
眼,げん,,,音读,,6级,常用汉字
眼,まなこ,,,训读,,6级,常用汉字
移,い,,,音读,,6级,常用汉字
移,うつ,る,,训读,,6级,常用汉字
移,うつ,す,,训读,,6级,常用汉字
経,けい,,經,音读,经,6级,常用汉字
経,きょう,,經,音读,经,6级,常用汉字
経,へ,る,經,训读,经,6级,常用汉字
液,えき,,,音读,,6级,常用汉字
険,けん,,險,音读,险,6级,常用汉字
険,けわ,しい,險,训读,险,6级,常用汉字
基,き,,,音读,,6级,常用汉字
基,もと,,,训读,,6级,常用汉字
基,もとい,,,训读,,6级,常用汉字
現,げん,,,音读,现,6级,常用汉字
現,あらわ,れる,,训读,现,6级,常用汉字
現,あらわ,す,,训读,现,6级,常用汉字
許,きょ,,,音读,许,6级,常用汉字
許,ゆる,す,,训读,许,6级,常用汉字
救,きゅう,,,音读,,6级,常用汉字
救,すく,う,,训读,,6级,常用汉字
婦,ふ,,,音读,妇,6级,常用汉字
停,てい,,,音读,,6级,常用汉字
堂,どう,,,音读,,6级,常用汉字
提,てい,,,音读,,6级,常用汉字
提,さ,げる,,训读,,6级,常用汉字
過,か,,,音读,过,6级,常用汉字
過,す,ぎる,,训读,过,6级,常用汉字
過,す,ごす,,训读,过,6级,常用汉字
過,あやま,つ,,训读,过,6级,常用汉字
過,あやま,ち,,训读,过,6级,常用汉字
検,けん,,檢,音读,检,6级,常用汉字
測,そく,,,音读,测,6级,常用汉字
測,はか,る,,训读,测,6级,常用汉字
程,てい,,,音读,,6级,常用汉字
程,ほど,,,训读,,6级,常用汉字
絶,ぜつ,,,音读,绝,6级,常用汉字
絶,た,える,,训读,绝,6级,常用汉字
絶,た,やす,,训读,绝,6级,常用汉字
絶,た,つ,,训读,绝,6级,常用汉字
属,ぞく,,屬,音读,,6级,常用汉字
貸,たい,,,音读,贷,6级,常用汉字
貸,か,す,,训读,贷,6级,常用汉字
統,とう,,,音读,统,6级,常用汉字
統,す,べる,,训读,统,6级,常用汉字
税,ぜい,,,音读,,6级,常用汉字
証,しょう,,證,音读,证,6级,常用汉字
貿,ぼう,,,音读,贸,6级,常用汉字
報,ほう,,,音读,报,6级,常用汉字
報,むく,いる,,训读,报,6级,常用汉字
象,しょう,,,音读,,6级,常用汉字
象,ぞう,,,音读,,6级,常用汉字
喜,き,,,音读,,6级,常用汉字
喜,よろこ,ぶ,,训读,,6级,常用汉字
費,ひ,,,音读,费,6级,常用汉字
費,つい,やす,,训读,费,6级,常用汉字
費,つい,える,,训读,费,6级,常用汉字
復,ふく,,,音读,复,6级,常用汉字
営,えい,,營,音读,营,6级,常用汉字
営,いとな,む,營,训读,营,6级,常用汉字
評,ひょう,,,音读,评,6级,常用汉字
減,げん,,,音读,减,6级,常用汉字
減,へ,る,,训读,减,6级,常用汉字
減,へ,らす,,训读,减,6级,常用汉字
備,び,,,音读,备,6级,常用汉字
備,そな,える,,训读,备,6级,常用汉字
備,そな,わる,,训读,备,6级,常用汉字
貯,ちょ,,,音读,贮,6级,常用汉字
夢,む,,,音读,梦,6级,常用汉字
夢,ゆめ,,,训读,梦,6级,常用汉字
飼,し,,,音读,饲,6级,常用汉字
飼,か,う,,训读,饲,6级,常用汉字
豊,ほう,,豐,音读,丰,6级,常用汉字
豊,ゆたか,,豐,训读,丰,6级,常用汉字
墓,ぼ,,,音读,,6级,常用汉字
墓,はか,,,训读,,6级,常用汉字
解,かい,,,音读,,6级,常用汉字
解,げ,,,音读,,6级,常用汉字
解,と,く,,训读,,6级,常用汉字
解,と,かす,,训读,,6级,常用汉字
解,と,ける,,训读,,6级,常用汉字
幹,かん,,,音读,干,6级,常用汉字
幹,みき,,,训读,干,6级,常用汉字
禁,きん,,,音读,,6级,常用汉字
準,じゅん,,,音读,准,6级,常用汉字
罪,ざい,,,音读,,6级,常用汉字
罪,つみ,,,训读,,6级,常用汉字
勢,せい,,,音读,势,6级,常用汉字
勢,いきお,い,,训读,势,6级,常用汉字
資,し,,,音读,资,6级,常用汉字
損,そん,,,音读,损,6级,常用汉字
損,そこ,なう,,训读,损,6级,常用汉字
損,そこ,ねる,,训读,损,6级,常用汉字
鉱,こう,,鑛,音读,矿,6级,常用汉字
義,ぎ,,,音读,义,6级,常用汉字
演,えん,,,音读,,6级,常用汉字
構,こう,,,音读,构,6级,常用汉字
構,かま,える,,训读,构,6级,常用汉字
構,かま,う,,训读,构,6级,常用汉字
酸,さん,,,音读,,6级,常用汉字
酸,す,い,,训读,,6级,常用汉字
精,せい,,,音读,,6级,常用汉字
精,しょう,,,音读,,6级,常用汉字
像,ぞう,,,音读,,6级,常用汉字
製,せい,,,音读,制,6级,常用汉字
複,ふく,,,音读,复,6级,常用汉字
際,さい,,,音读,际,6级,常用汉字
際,きわ,,,训读,际,6级,常用汉字
雑,ざつ,,雜,音读,杂,6级,常用汉字
雑,ぞう,,雜,音读,杂,6级,常用汉字
歴,れき,,歷,音读,历,6级,常用汉字
態,たい,,,音读,态,6级,常用汉字
適,てき,,,音读,适,6级,常用汉字
境,きょう,,,音读,,6级,常用汉字
境,けい,,,音读,,6级,常用汉字
境,さかい,,,训读,,6级,常用汉字
銅,どう,,,音读,铜,6级,常用汉字
領,りょう,,,音读,领,6级,常用汉字
増,ぞう,,增,音读,增,6级,常用汉字
増,ま,す,增,训读,增,6级,常用汉字
増,ふ,える,增,训读,增,6级,常用汉字
増,ふ,やす,增,训读,增,6级,常用汉字
総,そう,,總,音读,总,6级,常用汉字
慣,かん,,,音读,惯,6级,常用汉字
慣,な,れる,,训读,惯,6级,常用汉字
慣,な,らす,,训读,惯,6级,常用汉字
綿,めん,,,音读,绵,6级,常用汉字
綿,わた,,,训读,绵,6级,常用汉字
質,しつ,,,音读,质,6级,常用汉字
質,しち,,,音读,质,6级,常用汉字
質,ち,,,音读,质,6级,常用汉字
賞,しょう,,,音读,赏,6级,常用汉字
賛,さん,,贊,音读,赞,6级,常用汉字
確,かく,,,音读,确,6级,常用汉字
確,たしか,,,训读,确,6级,常用汉字
確,たし,かめる,,训读,确,6级,常用汉字
編,へん,,,音读,编,6级,常用汉字
編,あ,む,,训读,编,6级,常用汉字
導,どう,,,音读,导,6级,常用汉字
導,みちび,く,,训读,导,6级,常用汉字
暴,ぼう,,,音读,,6级,常用汉字
暴,ばく,,,音读,,6级,常用汉字
暴,あば,く,,训读,,6级,常用汉字
暴,あば,れる,,训读,,6级,常用汉字
潔,けつ,,,音读,洁,6级,常用汉字
潔,いさぎよ,い,,训读,洁,6级,常用汉字
衛,えい,,衞,音读,卫,6级,常用汉字
輸,ゆ,,,音读,输,6级,常用汉字
築,ちく,,,音读,筑,6级,常用汉字
築,きず,く,,训读,筑,6级,常用汉字
燃,ねん,,,音读,,6级,常用汉字
燃,も,える,,训读,,6级,常用汉字
燃,も,やす,,训读,,6级,常用汉字
燃,も,す,,训读,,6级,常用汉字
興,こう,,,音读,兴,6级,常用汉字
興,きょう,,,音读,兴,6级,常用汉字
興,おこ,る,,训读,兴,6级,常用汉字
興,おこ,す,,训读,兴,6级,常用汉字
績,せき,,,音读,绩,6级,常用汉字
謝,しゃ,,,音读,谢,6级,常用汉字
謝,あやま,る,,训读,谢,6级,常用汉字
講,こう,,,音读,讲,6级,常用汉字
額,がく,,,音读,额,6级,常用汉字
額,ひたい,,,训读,额,6级,常用汉字
職,しょく,,,音读,职,6级,常用汉字
織,しょく,,,音读,织,6级,常用汉字
織,しき,,,音读,织,6级,常用汉字
織,お,る,,训读,织,6级,常用汉字
識,しき,,,音读,识,6级,常用汉字
護,ご,,,音读,护,6级,常用汉字
井,せい,,,音读,,7级,常用汉字
井,しょう,,,音读,,7级,常用汉字
井,い,,,训读,,7级,常用汉字
欠,けつ,,缺,音读,,7级,常用汉字
欠,か,ける,缺,训读,,7级,常用汉字
欠,か,く,缺,训读,,7级,常用汉字
夫,ふ,,,音读,,7级,常用汉字
夫,ふう,,,音读,,7级,常用汉字
夫,おっと,,,训读,,7级,常用汉字
不,ふ,,,音读,,7级,常用汉字
不,ぶ,,,音读,,7级,常用汉字
氏,し,,,音读,,7级,常用汉字
氏,うじ,,,训读,,7级,常用汉字
失,しつ,,,音读,,7级,常用汉字
失,うしな,う,,训读,,7级,常用汉字
付,ふ,,,音读,,7级,常用汉字
付,つ,ける,,训读,,7级,常用汉字
付,つ,く,,训读,,7级,常用汉字
功,こう,,,音读,,7级,常用汉字
功,く,,,音读,,7级,常用汉字
末,まつ,,,音读,,7级,常用汉字
末,ばつ,,,音读,,7级,常用汉字
末,すえ,,,训读,,7级,常用汉字
令,れい,,,音读,,7级,常用汉字
札,さつ,,,音读,,7级,常用汉字
札,ふだ,,,训读,,7级,常用汉字
包,ほう,,,音读,,7级,常用汉字
包,つつ,む,,训读,,7级,常用汉字
辺,へん,,邊,音读,边,7级,常用汉字
辺,あた,り,邊,训读,边,7级,常用汉字
辺,べ,,邊,训读,边,7级,常用汉字
必,ひつ,,,音读,,7级,常用汉字
必,かなら,ず,,训读,,7级,常用汉字
以,い,,,音读,,7级,常用汉字
司,し,,,音读,,7级,常用汉字
未,み,,,音读,,7级,常用汉字
加,か,,,音读,,7级,常用汉字
加,くわ,える,,训读,,7级,常用汉字
加,くわ,わる,,训读,,7级,常用汉字
民,みん,,,音读,,7级,常用汉字
民,たみ,,,训读,,7级,常用汉字
印,いん,,,音读,,7级,常用汉字
印,しるし,,,训读,,7级,常用汉字
衣,い,,,音读,,7级,常用汉字
衣,ころも,,,训读,,7级,常用汉字
兆,ちょう,,,音读,,7级,常用汉字
兆,きざ,す,,训读,,7级,常用汉字
兆,きざ,し,,训读,,7级,常用汉字
共,きょう,,,音读,,7级,常用汉字
共,とも,,,训读,,7级,常用汉字
灯,とう,,燈,音读,,7级,常用汉字
灯,ひ,,燈,训读,,7级,常用汉字
成,せい,,,音读,,7级,常用汉字
成,じょう,,,音读,,7级,常用汉字
成,な,る,,训读,,7级,常用汉字
成,な,す,,训读,,7级,常用汉字
伝,でん,,傳,音读,传,7级,常用汉字
伝,つた,わる,傳,训读,传,7级,常用汉字
伝,つた,える,傳,训读,传,7级,常用汉字
伝,つた,う,傳,训读,传,7级,常用汉字
老,ろう,,,音读,,7级,常用汉字
老,お,いる,,训读,,7级,常用汉字
老,ふ,ける,,训读,,7级,常用汉字
仲,ちゅう,,,音读,,7级,常用汉字
仲,なか,,,训读,,7级,常用汉字
争,そう,,爭,音读,,7级,常用汉字
争,あらそ,う,爭,训读,,7级,常用汉字
好,こう,,,音读,,7级,常用汉字
好,この,む,,训读,,7级,常用汉字
好,す,く,,训读,,7级,常用汉字
各,かく,,,音读,,7级,常用汉字
各,おのおの,,,训读,,7级,常用汉字
阪,はん,,,音读,,7级,常用汉字
臣,しん,,,音读,,7级,常用汉字
臣,じん,,,音读,,7级,常用汉字
初,しょ,,,音读,,7级,常用汉字
初,はじ,め,,训读,,7级,常用汉字
初,はじ,めて,,训读,,7级,常用汉字
初,はつ,,,训读,,7级,常用汉字
初,うい,,,训读,,7级,常用汉字
初,そめる,,,训读,,7级,常用汉字
利,り,,,音读,,7级,常用汉字
利,き,く,,训读,,7级,常用汉字
芸,げい,,藝,音读,艺,7级,常用汉字
児,じ,,兒,音读,儿,7级,常用汉字
児,に,,兒,音读,儿,7级,常用汉字
良,りょう,,,音读,,7级,常用汉字
良,よ,い,,训读,,7级,常用汉字
材,ざい,,,音读,,7级,常用汉字
労,ろう,,勞,音读,劳,7级,常用汉字
佐,さ,,,音读,,7级,常用汉字
改,かい,,,音读,,7级,常用汉字
改,あらた,める,,训读,,7级,常用汉字
改,あらた,まる,,训读,,7级,常用汉字
完,かん,,,音读,,7级,常用汉字
束,そく,,,音读,,7级,常用汉字
束,たば,,,训读,,7级,常用汉字
冷,れい,,,音读,,7级,常用汉字
冷,つめ,たい,,训读,,7级,常用汉字
冷,ひ,える,,训读,,7级,常用汉字
冷,ひ,や,,训读,,7级,常用汉字
冷,ひ,やす,,训读,,7级,常用汉字
冷,ひ,やかす,,训读,,7级,常用汉字
冷,さ,める,,训读,,7级,常用汉字
冷,さ,ます,,训读,,7级,常用汉字
低,てい,,,音读,,7级,常用汉字
低,ひく,い,,训读,,7级,常用汉字
低,ひく,める,,训读,,7级,常用汉字
低,ひく,まる,,训读,,7级,常用汉字
努,ど,,,音读,,7级,常用汉字
努,つと,める,,训读,,7级,常用汉字
位,い,,,音读,,7级,常用汉字
位,くらい,,,训读,,7级,常用汉字
岐,き,,,音读,歧,7级,常用汉字
希,き,,,音读,稀,7级,常用汉字
沖,ちゅう,,,音读,冲,7级,常用汉字
沖,おき,,,训读,冲,7级,常用汉字
別,べつ,,,音读,别,7级,常用汉字
別,わか,れる,,训读,别,7级,常用汉字
兵,へい,,,音读,,7级,常用汉字
兵,ひょう,,,音读,,7级,常用汉字
求,きゅう,,,音读,,7级,常用汉字
求,もと,める,,训读,,7级,常用汉字
折,せつ,,,音读,,7级,常用汉字
折,お,る,,训读,,7级,常用汉字
折,おり,,,训读,,7级,常用汉字
折,お,れる,,训读,,7级,常用汉字
的,てき,,,音读,,7级,常用汉字
的,まと,,,训读,,7级,常用汉字
典,てん,,,音读,,7级,常用汉字
治,じ,,,音读,,7级,常用汉字
治,ち,,,音读,,7级,常用汉字
治,おさ,める,,训读,,7级,常用汉字
治,おさ,まる,,训读,,7级,常用汉字
治,なお,る,,训读,,7级,常用汉字
治,なお,す,,训读,,7级,常用汉字
底,てい,,,音读,,7级,常用汉字
底,そこ,,,训读,,7级,常用汉字
法,ほう,,,音读,,7级,常用汉字
法,はっ,,,音读,,7级,常用汉字
法,ほっ,,,音读,,7级,常用汉字
松,しょう,,,音读,,7级,常用汉字
松,まつ,,,训读,,7级,常用汉字
卒,そつ,,,音读,,7级,常用汉字
阜,ふ,,,音读,,7级,常用汉字
周,しゅう,,,音读,,7级,常用汉字
周,まわ,り,,训读,,7级,常用汉字
牧,ぼく,,,音读,,7级,常用汉字
牧,まき,,,训读,,7级,常用汉字
府,ふ,,,音读,,7级,常用汉字
参,さん,,參,音读,,7级,常用汉字
参,まい,る,參,训读,,7级,常用汉字
岡,おか,,,训读,冈,7级,常用汉字
奈,な,,,音读,,7级,常用汉字
例,れい,,,音读,,7级,常用汉字
例,たと,える,,训读,,7级,常用汉字
径,けい,,徑,音读,,7级,常用汉字
果,か,,,音读,,7级,常用汉字
果,は,たす,,训读,,7级,常用汉字
果,は,てる,,训读,,7级,常用汉字
果,は,て,,训读,,7级,常用汉字
芽,が,,,音读,,7级,常用汉字
芽,め,,,训读,,7级,常用汉字
泣,きゅう,,,音读,,7级,常用汉字
泣,な,く,,训读,,7级,常用汉字
協,きょう,,,音读,协,7级,常用汉字
季,き,,,音读,,7级,常用汉字
官,かん,,,音读,,7级,常用汉字
固,こ,,,音读,,7级,常用汉字
固,かた,める,,训读,,7级,常用汉字
固,かた,まる,,训读,,7级,常用汉字
固,かた,い,,训读,,7级,常用汉字
念,ねん,,,音读,,7级,常用汉字
英,えい,,,音读,,7级,常用汉字
刷,さつ,,,音读,,7级,常用汉字
刷,す,る,,训读,,7级,常用汉字
勇,ゆう,,,音读,,7级,常用汉字
勇,いさ,む,,训读,,7级,常用汉字
要,よう,,,音读,,7级,常用汉字
要,かなめ,,,训读,,7级,常用汉字
要,い,る,,训读,,7级,常用汉字
単,たん,,單,音读,单,7级,常用汉字
城,じょう,,,音读,,7级,常用汉字
城,しろ,,,训读,,7级,常用汉字
飛,ひ,,,音读,飞,7级,常用汉字
飛,と,ぶ,,训读,飞,7级,常用汉字
飛,と,ばす,,训读,飞,7级,常用汉字
香,こう,,,音读,,7级,常用汉字
香,きょう,,,音读,,7级,常用汉字
香,か,,,训读,,7级,常用汉字
香,かお,り,,训读,,7级,常用汉字
香,かお,る,,训读,,7级,常用汉字
建,けん,,,音读,,7级,常用汉字
建,こん,,,音读,,7级,常用汉字
建,た,てる,,训读,,7级,常用汉字
建,た,つ,,训读,,7级,常用汉字
浅,せん,,淺,音读,,7级,常用汉字
浅,あさ,い,淺,训读,,7级,常用汉字
約,やく,,,音读,约,7级,常用汉字
茨,いばら,,,训读,,7级,常用汉字
変,へん,,變,音读,变,7级,常用汉字
変,か,わる,變,训读,变,7级,常用汉字
変,か,える,變,训读,变,7级,常用汉字
便,べん,,,音读,,7级,常用汉字
便,びん,,,音读,,7级,常用汉字
便,たよ,り,,训读,,7级,常用汉字
栃,とち,,,训读,,7级,常用汉字
昨,さく,,,音读,,7级,常用汉字
軍,ぐん,,,音读,军,7级,常用汉字
省,せい,,,音读,,7级,常用汉字
省,しょう,,,音读,,7级,常用汉字
省,かえり,みる,,训读,,7级,常用汉字
省,はぶ,く,,训读,,7级,常用汉字
栄,えい,,榮,音读,荣,7级,常用汉字
栄,さか,える,榮,训读,荣,7级,常用汉字
栄,はえ,,榮,训读,荣,7级,常用汉字
栄,は,える,榮,训读,荣,7级,常用汉字
信,しん,,,音读,,7级,常用汉字
祝,しゅく,,祝,音读,,7级,常用汉字
祝,しゅう,,祝,音读,,7级,常用汉字
祝,いわ,う,祝,训读,,7级,常用汉字
孫,そん,,,音读,孙,7级,常用汉字
孫,まご,,,训读,孙,7级,常用汉字
害,がい,,,音读,,7级,常用汉字
徒,と,,,音读,,7级,常用汉字
特,とく,,,音读,,7级,常用汉字
案,あん,,,音读,,7级,常用汉字
梅,ばい,,梅,音读,,7级,常用汉字
梅,うめ,,梅,训读,,7级,常用汉字
帯,たい,,帶,音读,带,7级,常用汉字
帯,お,びる,帶,训读,带,7级,常用汉字
帯,おび,,帶,训读,带,7级,常用汉字
郡,ぐん,,,音读,,7级,常用汉字
候,こう,,,音读,,7级,常用汉字
候,そうろう,,,训读,,7级,常用汉字
料,りょう,,,音读,,7级,常用汉字
笑,しょう,,,音读,,7级,常用汉字
笑,わら,う,,训读,,7级,常用汉字
笑,えむ,,,训读,,7级,常用汉字
訓,くん,,,音读,训,7级,常用汉字
差,さ,,,音读,,7级,常用汉字
差,さ,す,,训读,,7级,常用汉字
席,せき,,,音读,,7级,常用汉字
挙,きょ,,擧,音读,举,7级,常用汉字
挙,あ,げる,擧,训读,举,7级,常用汉字
挙,あ,がる,擧,训读,举,7级,常用汉字
連,れん,,,音读,连,7级,常用汉字
連,つら,なる,,训读,连,7级,常用汉字
連,つら,ねる,,训读,连,7级,常用汉字
連,つ,れる,,训读,连,7级,常用汉字
浴,よく,,,音读,,7级,常用汉字
浴,あ,びる,,训读,,7级,常用汉字
浴,あ,びせる,,训读,,7级,常用汉字
倉,そう,,,音读,仓,7级,常用汉字
倉,くら,,,训读,仓,7级,常用汉字
残,ざん,,殘,音读,,7级,常用汉字
残,のこ,る,殘,训读,,7级,常用汉字
残,のこ,す,殘,训读,,7级,常用汉字
借,しゃく,,,音读,,7级,常用汉字
借,か,りる,,训读,,7级,常用汉字
陸,りく,,,音读,陆,7级,常用汉字
敗,はい,,,音读,败,7级,常用汉字
敗,やぶ,れる,,训读,败,7级,常用汉字
票,ひょう,,,音读,,7级,常用汉字
鹿,しか,,,训读,,7级,常用汉字
鹿,か,,,训读,,7级,常用汉字
副,ふく,,,音读,,7级,常用汉字
崎,さき,,,训读,,7级,常用汉字
埼,さい,,,训读,,7级,常用汉字
梨,なし,,,训读,,7级,常用汉字
貨,か,,,音读,货,7级,常用汉字
康,こう,,,音读,,7级,常用汉字
望,ぼう,,,音读,,7级,常用汉字
望,もう,,,音读,,7级,常用汉字
望,のぞ,む,,训读,,7级,常用汉字
巣,そう,,巢,音读,巢,7级,常用汉字
巣,す,,巢,训读,巢,7级,常用汉字
側,そく,,,音读,侧,7级,常用汉字
側,がわ,,,训读,侧,7级,常用汉字
健,けん,,,音读,,7级,常用汉字
健,すこやか,,,训读,,7级,常用汉字
菜,さい,,,音读,,7级,常用汉字
菜,な,,,训读,,7级,常用汉字
械,かい,,,音读,,7级,常用汉字
清,せい,,,音读,,7级,常用汉字
清,しょう,,,音读,,7级,常用汉字
清,きよ,い,,训读,,7级,常用汉字
清,きよ,まる,,训读,,7级,常用汉字
清,きよ,める,,训读,,7级,常用汉字
産,さん,,,音读,产,7级,常用汉字
産,う,む,,训读,产,7级,常用汉字
産,う,まれる,,训读,产,7级,常用汉字
産,うぶ,,,训读,产,7级,常用汉字
唱,しょう,,,音读,,7级,常用汉字
唱,とな,える,,训读,,7级,常用汉字
最,さい,,,音读,,7级,常用汉字
最,もっと,も,,训读,,7级,常用汉字
散,さん,,,音读,,7级,常用汉字
散,ち,る,,训读,,7级,常用汉字
散,ち,らす,,训读,,7级,常用汉字
散,ち,らかす,,训读,,7级,常用汉字
散,ち,らかる,,训读,,7级,常用汉字
焼,しょう,,燒,音读,烧,7级,常用汉字
焼,や,く,燒,训读,烧,7级,常用汉字
焼,や,ける,燒,训读,烧,7级,常用汉字
量,りょう,,,音读,,7级,常用汉字
量,はか,る,,训读,,7级,常用汉字
街,がい,,,音读,,7级,常用汉字
街,かい,,,音读,,7级,常用汉字
街,まち,,,训读,,7级,常用汉字
給,きゅう,,,音读,给,7级,常用汉字
富,ふ,,,音读,,7级,常用汉字
富,ふう,,,音读,,7级,常用汉字
富,と,む,,训读,,7级,常用汉字
富,とみ,,,训读,,7级,常用汉字
賀,が,,,音读,贺,7级,常用汉字
滋,じ,,,音读,,7级,常用汉字
極,きょく,,,音读,极,7级,常用汉字
極,ごく,,,音读,极,7级,常用汉字
極,きわ,める,,训读,极,7级,常用汉字
極,きわまる,,,训读,极,7级,常用汉字
極,きわみ,,,训读,极,7级,常用汉字
景,けい,,,音读,,7级,常用汉字
結,けつ,,,音读,结,7级,常用汉字
結,むす,ぶ,,训读,结,7级,常用汉字
結,ゆ,う,,训读,结,7级,常用汉字
結,ゆ,わえる,,训读,结,7级,常用汉字
覚,かく,,覺,音读,觉,7级,常用汉字
覚,おぼ,える,覺,训读,觉,7级,常用汉字
覚,さ,ます,覺,训读,觉,7级,常用汉字
覚,さ,める,覺,训读,觉,7级,常用汉字
媛,えん,,,音读,,7级,常用汉字
満,まん,,滿,音读,满,7级,常用汉字
満,み,ちる,滿,训读,满,7级,常用汉字
満,み,たす,滿,训读,满,7级,常用汉字
博,はく,,,音读,,7级,常用汉字
博,ばく,,,音读,,7级,常用汉字
然,ぜん,,,音读,,7级,常用汉字
然,ねん,,,音读,,7级,常用汉字
隊,たい,,,音读,队,7级,常用汉字
順,じゅん,,,音读,顺,7级,常用汉字
達,たつ,,,音读,达,7级,常用汉字
飯,はん,,,音读,饭,7级,常用汉字
飯,めし,,,训读,饭,7级,常用汉字
無,む,,,音读,无,7级,常用汉字
無,ぶ,,,音读,无,7级,常用汉字
無,な,い,,训读,无,7级,常用汉字
愛,あい,,,音读,爱,7级,常用汉字
続,ぞく,,續,音读,续,7级,常用汉字
続,つづ,く,續,训读,续,7级,常用汉字
続,つづ,ける,續,训读,续,7级,常用汉字
置,ち,,,音读,,7级,常用汉字
置,お,く,,训读,,7级,常用汉字
群,ぐん,,,音读,,7级,常用汉字
群,む,れる,,训读,,7级,常用汉字
群,む,れ,,训读,,7级,常用汉字
群,むら,,,训读,,7级,常用汉字
戦,せん,,戰,音读,战,7级,常用汉字
戦,いくさ,,戰,训读,战,7级,常用汉字
戦,たたか,う,戰,训读,战,7级,常用汉字
辞,じ,,辭,音读,,7级,常用汉字
辞,や,める,辭,训读,,7级,常用汉字
働,どう,,,音读,动,7级,常用汉字
