字,假名,送假名,旧字体,音训读,简体字
謎［謎］,なぞ,,,训读,
鍋,なべ,,,训读,锅
南,なん,,,音读,
南,な,,,音读,
南,みなみ,,,训读,
軟,なん,,,音读,软
軟,やわらか,,,训读,软
軟,やわ,らかい,,训读,软
難,なん,,難,音读,难
難,かたい,,難,训读,难
難,むずか,しい,難,训读,难
二,に,,,音读,
二,ふた,,,训读,
二,ふた,つ,,训读,
尼,に,,,音读,
尼,あま,,,训读,
弐,に,,貳,音读,弍
匂,にお,う,,训读,
肉,にく,,,音读,
虹,にじ,,,训读,
日,にち,,,音读,
日,じつ,,,音读,
日,ひ,,,训读,
日,か,,,训读,
入,にゅう,,,音读,
入,い,る,,训读,
入,い,れる,,训读,
入,はい,る,,训读,
乳,にゅう,,,音读,
乳,ちち,,,训读,
乳,ち,,,训读,
尿,にょう,,,音读,
任,にん,,,音读,
任,まか,せる,,训读,
任,まか,す,,训读,
妊,にん,,,音读,
忍,にん,,,音读,
忍,しの,ぶ,,训读,
忍,しの,ばせる,,训读,
認,にん,,,音读,认
認,みと,める,,训读,认
寧,ねい,,,音读,宁
熱,ねつ,,,音读,热
熱,あつ,い,,训读,热
年,ねん,,,音读,
年,とし,,,训读,
